Frec[Hz],Fase [°],|Z|[ohm],Rs[ohm],Ls[H],Q
5.0119E+03,8.9030E+01,3.1830E+01,5.3903E-01,1.0106E-03,5.9042E+01
5.3088E+03,8.9060E+01,3.3686E+01,5.5256E-01,1.0098E-03,6.0956E+01
5.6234E+03,8.9160E+01,3.5711E+01,5.2356E-01,1.0106E-03,6.8201E+01
5.9566E+03,8.9212E+01,3.7833E+01,5.2040E-01,1.0108E-03,7.2693E+01
6.3096E+03,8.9233E+01,4.0059E+01,5.3642E-01,1.0104E-03,7.4671E+01
6.6834E+03,8.9282E+01,4.2444E+01,5.3174E-01,1.0107E-03,7.9816E+01
7.0795E+03,8.9344E+01,4.4976E+01,5.1482E-01,1.0110E-03,8.7356E+01
7.4989E+03,8.9381E+01,4.7621E+01,5.1468E-01,1.0106E-03,9.2520E+01
7.9433E+03,8.9459E+01,5.0457E+01,4.7602E-01,1.0109E-03,1.0599E+02
8.4140E+03,8.9471E+01,5.3428E+01,4.9367E-01,1.0106E-03,1.0822E+02
8.9125E+03,8.9522E+01,5.6630E+01,4.7206E-01,1.0112E-03,1.1996E+02
9.4406E+03,8.9556E+01,5.9981E+01,4.6478E-01,1.0112E-03,1.2905E+02
1.0000E+04,8.9547E+01,6.3556E+01,5.0228E-01,1.0115E-03,1.2653E+02
1.0593E+04,8.9604E+01,6.7307E+01,4.6536E-01,1.0113E-03,1.4463E+02
1.1220E+04,8.9626E+01,7.1340E+01,4.6611E-01,1.0119E-03,1.5305E+02
1.1885E+04,8.9638E+01,7.5508E+01,4.7680E-01,1.0111E-03,1.5836E+02
1.2589E+04,8.9695E+01,8.0013E+01,4.2555E-01,1.0115E-03,1.8802E+02
1.3335E+04,8.9668E+01,8.4746E+01,4.9079E-01,1.0114E-03,1.7267E+02
1.4125E+04,8.9715E+01,8.9842E+01,4.4752E-01,1.0123E-03,2.0075E+02
1.4962E+04,8.9764E+01,9.5106E+01,3.9242E-01,1.0116E-03,2.4236E+02
1.5849E+04,8.9741E+01,1.0074E+02,4.5527E-01,1.0116E-03,2.2127E+02
1.6788E+04,8.9774E+01,1.0675E+02,4.2094E-01,1.0120E-03,2.5359E+02
1.7783E+04,8.9804E+01,1.1307E+02,3.8711E-01,1.0120E-03,2.9209E+02
1.8836E+04,8.9807E+01,1.1975E+02,4.0263E-01,1.0118E-03,2.9742E+02
1.9953E+04,8.9805E+01,1.2683E+02,4.3068E-01,1.0117E-03,2.9449E+02
2.1135E+04,8.9847E+01,1.3444E+02,3.5832E-01,1.0124E-03,3.7519E+02
2.2387E+04,8.9883E+01,1.4239E+02,2.9030E-01,1.0123E-03,4.9049E+02
2.3714E+04,8.9863E+01,1.5083E+02,3.6011E-01,1.0123E-03,4.1884E+02
2.5119E+04,8.9883E+01,1.5977E+02,3.2639E-01,1.0123E-03,4.8950E+02
2.6607E+04,8.9914E+01,1.6920E+02,2.5420E-01,1.0121E-03,6.6563E+02
2.8184E+04,8.9903E+01,1.7915E+02,3.0292E-01,1.0117E-03,5.9140E+02
2.9854E+04,8.9951E+01,1.8979E+02,1.6231E-01,1.0118E-03,1.1693E+03
3.1623E+04,8.9907E+01,2.0117E+02,3.2519E-01,1.0125E-03,6.1862E+02
3.3497E+04,8.9947E+01,2.1319E+02,1.9576E-01,1.0129E-03,1.0890E+03
3.5481E+04,8.9959E+01,2.2580E+02,1.6195E-01,1.0128E-03,1.3943E+03
3.7584E+04,8.9959E+01,2.3885E+02,1.7281E-01,1.0115E-03,1.3821E+03
3.9811E+04,9.0051E+01,2.5348E+02,-2.2349E-01,1.0134E-03,1.1342E+03
4.2170E+04,9.0001E+01,2.6824E+02,-2.9490E-03,1.0124E-03,9.0958E+04
4.4668E+04,9.0039E+01,2.8416E+02,-1.9189E-01,1.0125E-03,1.4808E+03
4.7315E+04,9.0015E+01,3.0122E+02,-7.8052E-02,1.0132E-03,3.8592E+03
5.0119E+04,9.0037E+01,3.1917E+02,-2.0355E-01,1.0136E-03,1.5680E+03
5.3088E+04,9.0110E+01,3.3816E+02,-6.5133E-01,1.0138E-03,5.1918E+02
5.6234E+04,9.0077E+01,3.5802E+02,-4.8374E-01,1.0133E-03,7.4011E+02
5.9566E+04,9.0096E+01,3.7933E+02,-6.3370E-01,1.0135E-03,5.9860E+02
6.3096E+04,9.0162E+01,4.0193E+02,-1.1367E+00,1.0138E-03,3.5361E+02
6.6834E+04,9.0160E+01,4.2612E+02,-1.1932E+00,1.0147E-03,3.5712E+02
7.0795E+04,9.0163E+01,4.5135E+02,-1.2848E+00,1.0147E-03,3.5130E+02
7.4989E+04,9.0183E+01,4.7835E+02,-1.5259E+00,1.0152E-03,3.1349E+02
7.9433E+04,9.0235E+01,5.0712E+02,-2.0786E+00,1.0161E-03,2.4398E+02
8.4140E+04,9.0177E+01,5.3748E+02,-1.6624E+00,1.0167E-03,3.2331E+02
8.9125E+04,9.0208E+01,5.6949E+02,-2.0676E+00,1.0170E-03,2.7543E+02
9.4406E+04,9.0263E+01,6.0436E+02,-2.7733E+00,1.0189E-03,2.1792E+02
1.0000E+05,9.0236E+01,6.3988E+02,-2.6326E+00,1.0184E-03,2.4306E+02
1.0593E+05,9.0337E+01,6.7867E+02,-3.9951E+00,1.0197E-03,1.6987E+02
1.1220E+05,9.0275E+01,7.1960E+02,-3.4591E+00,1.0207E-03,2.0803E+02
1.1885E+05,9.0325E+01,7.6331E+02,-4.3254E+00,1.0221E-03,1.7647E+02
1.2589E+05,9.0422E+01,8.0996E+02,-5.9599E+00,1.0239E-03,1.3590E+02
1.3335E+05,9.0423E+01,8.5834E+02,-6.3313E+00,1.0244E-03,1.3557E+02
1.4125E+05,9.0442E+01,9.1166E+02,-7.0350E+00,1.0272E-03,1.2959E+02
1.4962E+05,9.0453E+01,9.6669E+02,-7.6379E+00,1.0282E-03,1.2656E+02
1.5849E+05,9.0570E+01,1.0274E+03,-1.0221E+01,1.0317E-03,1.0051E+02
1.6788E+05,9.0532E+01,1.0908E+03,-1.0132E+01,1.0341E-03,1.0766E+02
1.7783E+05,9.0516E+01,1.1594E+03,-1.0435E+01,1.0376E-03,1.1110E+02
1.8836E+05,9.0597E+01,1.2307E+03,-1.2829E+01,1.0398E-03,9.5926E+01
1.9953E+05,9.0695E+01,1.3136E+03,-1.5932E+01,1.0477E-03,8.2445E+01
2.1135E+05,9.0640E+01,1.3935E+03,-1.5556E+01,1.0493E-03,8.9575E+01
2.2387E+05,9.0702E+01,1.4888E+03,-1.8242E+01,1.0583E-03,8.1608E+01
2.3714E+05,9.0722E+01,1.5854E+03,-1.9975E+01,1.0639E-03,7.9362E+01
2.5119E+05,9.0606E+01,1.6888E+03,-1.7869E+01,1.0700E-03,9.4508E+01
2.6607E+05,9.0736E+01,1.7972E+03,-2.3082E+01,1.0749E-03,7.7854E+01
2.8184E+05,9.0777E+01,1.9267E+03,-2.6121E+01,1.0879E-03,7.3754E+01
2.9854E+05,9.0834E+01,2.0514E+03,-2.9874E+01,1.0935E-03,6.8662E+01
3.1623E+05,9.0768E+01,2.1937E+03,-2.9405E+01,1.1040E-03,7.4597E+01
3.3497E+05,9.1178E+01,2.3659E+03,-4.8637E+01,1.1239E-03,4.8635E+01
3.5481E+05,9.1035E+01,2.5429E+03,-4.5943E+01,1.1404E-03,5.5340E+01
3.7584E+05,9.1169E+01,2.7224E+03,-5.5525E+01,1.1526E-03,4.9019E+01
3.9811E+05,9.0986E+01,2.9281E+03,-5.0378E+01,1.1704E-03,5.8114E+01
4.2170E+05,9.1259E+01,3.1659E+03,-6.9534E+01,1.1946E-03,4.5520E+01
4.4668E+05,9.1294E+01,3.4350E+03,-7.7550E+01,1.2236E-03,4.4283E+01
4.7315E+05,9.1717E+01,3.7383E+03,-1.1199E+02,1.2569E-03,3.3365E+01
5.0119E+05,9.1655E+01,4.0589E+03,-1.1720E+02,1.2884E-03,3.4619E+01
5.3088E+05,9.1665E+01,4.4673E+03,-1.2981E+02,1.3387E-03,3.4400E+01
5.6234E+05,9.1398E+01,4.9533E+03,-1.2084E+02,1.4015E-03,4.0977E+01
5.9566E+05,9.1424E+01,5.5016E+03,-1.3676E+02,1.4695E-03,4.0215E+01
6.3096E+05,9.1238E+01,6.1792E+03,-1.3354E+02,1.5583E-03,4.6262E+01
6.6834E+05,9.1737E+01,7.0056E+03,-2.1240E+02,1.6675E-03,3.2968E+01
7.0795E+05,9.1476E+01,7.9743E+03,-2.0545E+02,1.7921E-03,3.8801E+01
7.4989E+05,9.1048E+01,9.3339E+03,-1.7065E+02,1.9807E-03,5.4688E+01
7.9433E+05,9.1254E+01,1.1105E+04,-2.4314E+02,2.2246E-03,4.5665E+01
8.4140E+05,9.0107E+01,1.3782E+04,-2.5656E+01,2.6069E-03,5.3716E+02
8.9125E+05,8.9548E+01,1.7988E+04,1.4202E+02,3.2121E-03,1.2665E+02
9.4406E+05,8.7047E+01,2.6622E+04,1.3715E+03,4.4822E-03,1.9386E+01
1.0000E+06,8.1266E+01,4.7116E+04,7.1541E+03,7.4118E-03,6.5095E+00
