Frec[Hz],Fase [°],Rp[Ohm],Cs[F],D
16788.04018,-84.82401908,6503.118683,1.62E-08,0.09058446138
17782.7941,-84.65037057,5943.162488,1.62E-08,0.09364091693
18836.49089,-84.23545633,5197.824049,1.63E-08,0.1009511204
19952.62315,-84.09701157,4747.937486,1.64E-08,0.1033926627
21134.8904,-83.70270881,4221.84475,1.64E-08,0.1103531742
22387.21139,-83.16310689,3652.326954,1.65E-08,0.1198958928
23713.73706,-83.17301682,3443.418333,1.65E-08,0.1197204491
25118.86432,-82.4951926,2950.799714,1.66E-08,0.1317378578
26607.2506,-81.98476007,2595.364905,1.67E-08,0.1408120854
28183.82931,-81.15381416,2217.244547,1.68E-08,0.1556336958
29853.82619,-80.78707335,1999.677844,1.69E-08,0.1621961976
31622.7766,-79.89319643,1716.784396,1.70E-08,0.1782496452
33496.54392,-79.86701979,1609.995926,1.70E-08,0.1787210681
35481.33892,-78.6430704,1346.225859,1.73E-08,0.2008532049
37583.74043,-77.61445685,1167.714165,1.73E-08,0.2195997573
39810.71706,-77.50340423,1099.675245,1.72E-08,0.2216323282
42169.65034,-76.13935184,897.5209021,1.81E-08,0.2467462218
44668.35922,-74.37048359,764.1164811,1.80E-08,0.2797604147
47315.1259,-75.21476803,740.678461,1.84E-08,0.2639356719
50118.72336,-72.67437303,589.9829258,1.89E-08,0.3119560499
53088.44442,-71.75089408,529.2782679,1.90E-08,0.3297332459
56234.13252,-69.78255836,438.9054693,1.99E-08,0.3682740219
59566.21435,-68.48089907,387.1159292,2.02E-08,0.3942956284
63095.73445,-65.78702306,316.7932005,2.13E-08,0.4496900834
66834.39176,-61.7402344,260.2073386,2.19E-08,0.5375390527
70794.57844,-58.92108272,216.4674421,2.35E-08,0.6027368148
74989.42093,-56.68335463,187.8441906,2.46E-08,0.6572931725
79432.82347,-53.05165654,160.8323939,2.59E-08,0.7521414779
84139.51416,-47.67919147,133.0828887,2.86E-08,0.910594086
89125.09381,-44.88329051,119.716341,2.98E-08,1.004082251
94406.08763,-38.29722786,101.6200402,3.41E-08,1.266345584
100000,-35.42750239,91.74555243,3.67E-08,1.405707225
105925.3725,-24.67336521,79.83259572,4.96E-08,2.176820886
112201.8454,-17.83751615,76.50130065,6.36E-08,3.107642802
118850.2227,-11.57779611,76.84735954,8.86E-08,4.881222947
125892.5412,-5.384280356,77.88530051,1.74E-07,10.60996393
