Frec[Hz],Fase [°],|Z|[ohm],Rs[ohm],Ls[H],Q
5623.413252,95.30749417,29.70818783,-2.748031898,0.0008372020807,10.76436456
5956.621435,97.03210395,31.92086256,-3.907926519,0.0008464776812,8.106791267
6309.573445,97.6999784,33.8703771,-4.538149973,0.0008466550003,7.396180511
6683.439176,98.43058632,37.21344083,-5.455903979,0.0008766001166,6.747061582
7079.457844,98.4675008,39.90569064,-5.876049088,0.000887350023,6.717217612
7498.942093,99.33321659,42.54712379,-6.900118622,0.000891051272,6.084515559
7943.282347,99.17324847,46.36122977,-7.390919959,0.0009170330327,6.19250476
8413.951416,98.86094743,49.73279836,-7.660689117,0.0009294982619,6.414467544
8912.509381,99.17703644,53.92120606,-8.599652708,0.0009505719445,6.189904488
9440.608763,99.68915854,58.44157049,-9.835883606,0.0009711858217,5.856913648
10000,99.98004147,62.04869204,-10.75335584,0.0009725923962,5.682856907
10592.53725,100.3733811,67.45256558,-12.14565535,0.0009969227589,5.462864467
11220.18454,99.19187706,72.3569033,-11.55838129,0.00101318133,6.17973753
11885.02227,100.5824826,77.12936674,-14.16487173,0.001015288996,5.352502776
12589.25412,100.6681919,82.08393438,-15.1954668,0.001019779316,5.30850244
13335.21432,100.3011579,87.96192236,-15.72953562,0.0010328984,5.502012488
14125.37545,100.7525783,94.21276301,-17.57710988,0.001042885897,5.265858624
14962.35656,100.2897981,100.6570455,-17.98006862,0.001053471309,5.508219468
15848.93192,100.849441,106.7692097,-20.0970475,0.00105301125,5.217718204
16788.04018,100.5086965,113.6311388,-20.72458843,0.001059183949,5.390950507
17782.7941,100.5629378,122.3108027,-22.42146517,0.001076124159,5.362635279
18836.49089,99.97801765,130.2229653,-22.56377607,0.00108364871,5.684033194
19952.62315,101.2964368,139.1143143,-27.25042979,0.001088167442,5.006131344
21134.8904,100.7519841,148.1523391,-27.6390126,0.001096065282,5.266156559
22387.21139,100.3514165,158.0276744,-28.39521352,0.001105163747,5.474713032
23713.73706,100.8442972,167.6588791,-31.54345813,0.00110514945,5.2202533
25118.86432,100.8105968,177.4509271,-33.28322534,0.001104387752,5.236921268
26607.2506,100.9075986,188.8449556,-35.73431309,0.00110919436,5.189219995
28183.82931,101.216051,201.2374795,-39.1425313,0.00111468985,5.04295401
29853.82619,101.7695606,215.2839651,-43.91275813,0.001123579516,4.799466509
31622.7766,101.6251525,228.7430814,-46.09354485,0.001127630264,4.860785789
33496.54392,102.2898023,243.2379125,-51.77476687,0.001129231717,4.590339256
35481.33892,102.3471596,257.7065188,-55.1065473,0.001129229627,4.568345389
37583.74043,102.7414717,275.1154405,-60.67733118,0.001136336058,4.422422039
39810.71706,103.1275144,293.7084374,-66.70676704,0.001143500108,4.287915174
42169.65034,103.5870554,311.3279998,-73.13795691,0.001142117742,4.137594465
44668.35922,104.1249775,333.3896465,-81.35967397,0.00115196443,3.973834154
47315.1259,104.4265351,355.4144998,-88.54741233,0.001157818531,3.887268065
50118.72336,105.0927836,379.3754728,-98.78288764,0.00116317244,3.708021594
53088.44442,105.8523004,404.9831048,-110.6245611,0.001167933558,3.521652056
56234.13252,106.4033956,432.8684328,-122.2413137,0.001175247247,3.396965234
59566.21435,106.5403387,462.7291132,-131.7345014,0.001185204339,3.3672361
63095.73445,107.2712565,495.778827,-147.1946823,0.001194181906,3.216312467
66834.39176,107.9618798,529.2014748,-163.1973553,0.001198784948,3.084665194
70794.57844,108.4995402,567.6701698,-180.1200677,0.001210246834,2.988764678
74989.42093,109.249927,609.15526,-200.8320577,0.001220566007,2.863571958
79432.82347,109.7999426,652.3201276,-220.9649487,0.001229746681,2.777615582
84139.51416,110.4232339,701.2195673,-244.6920364,0.001243022227,2.685585156
89125.09381,111.1565476,756.5419161,-273.0491445,0.001259933159,2.583964568
94406.08763,111.7042471,811.0901171,-299.9538014,0.001270439868,2.512346937
100000,112.396793,875.5130705,-333.5867882,0.001288312806,2.426567353
105925.3725,113.0858361,944.3170473,-370.2758917,0.001305230742,2.346074106
112201.8454,113.707425,1020.699297,-410.3889268,0.001325649494,2.277261714
118850.2227,114.3652403,1103.084218,-455.0794544,0.00134559935,2.208047481
125892.5412,114.9149014,1196.576605,-504.0838633,0.001371944531,2.15284928
133352.1432,115.3723409,1295.482309,-555.1128813,0.001397011833,2.108621585
141253.7545,115.8196851,1405.87901,-612.3171003,0.001425910348,2.066786904
149623.5656,116.2511853,1528.657653,-676.136355,0.001458333192,2.027693649
158489.3192,116.5708103,1663.022681,-743.8758599,0.001493624636,1.999497527
167880.4018,116.9853596,1811.680089,-822.0730532,0.001530520152,1.963850881
177827.941,117.1590567,1973.744324,-900.9397491,0.001571721165,1.949214447
188364.9089,117.3447718,2152.804468,-988.8773697,0.001615712638,1.933755457
199526.2315,117.419436,2352.602328,-1083.375547,0.001665769572,1.92759488
211348.904,117.4079103,2568.255429,-1182.225383,0.00171691948,1.928543845
223872.1139,117.3481729,2807.949689,-1289.962318,0.001773109372,1.933474149
237137.3706,117.2536662,3072.870469,-1407.162034,0.001833412578,1.941314801
251188.6432,116.9938963,3361.597457,-1525.81422,0.001897886745,1.963127482
266072.506,116.7344432,3680.953371,-1655.898832,0.001966441729,1.985304607
281838.2931,116.3475779,4041.366681,-1793.621059,0.002045095937,2.01912339
298538.2619,115.943039,4421.256153,-1934.199592,0.00211951411,2.055487752
316227.766,115.3613869,4853.743238,-2078.985667,0.002207418933,2.109663244
334965.4392,114.8137825,5326.019562,-2235.172953,0.002296963033,2.162831771
